ARTH,Specialization,Total_Num_Plants_Visited,Total_Spring_Plants Visited,Notes
HETH,Generalist,6,3,
DIAL,Generalist,10,6,
SAB,Generalist,6,5,
SYRPHID2,Generalist,3,2,
SYRPHID1,Generalist,2,2,
NOSP1,Generalist,2,2,
BF1,Generalist,2,2,not counting it's attempt to sit on goatgrass
PANUR,Generalist,4,4,
UNKFLY,Specialist,3,1,not counting it's attempt to sit on goatgrass
BF2,Generalist,3,2,not counting it's attempt to sit on goatgrass
SYRPHID3,Specialist,1,1,
OSMIA,Generalist,2,2,
RAB,Specialist,1,1,
ADELA,Specialist,1,1,
UNMOTH,Specialist,1,1,
UNMOTH2,Specialist,1,1,
UNMOTH3,Specialist,1,1,
UNSFL,Generalist,7,3,
ANDRENA,Generalist,3,3,
UNBEE1,Specialist,1,1,
FUZZ,Generalist,3,2,
HALI,Specialist,3,1,
LATI,Generalist,6,2,
UNK_SM_BEE,Generalist,7,5,
COTU,Specialist,1,1,
UNMOTH1,Specialist,1,1,
SPHEC,Specialist,1,1,
BOM2,Generalist,3,3,
Halictid,Generalist,4,4,
REDMOTH2,Generalist,2,2,
